,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.413,0.103,10,-16.764,0,0.0489,0.949,0.00204,0.0803,0.117,96.432,audio_features,4C3UvaQnLKgUNjLmTenUit,spotify:track:4C3UvaQnLKgUNjLmTenUit,https://api.spotify.com/v1/tracks/4C3UvaQnLKgUNjLmTenUit,https://api.spotify.com/v1/audio-analysis/4C3UvaQnLKgUNjLmTenUit,336520,3
1,0.49,0.217,3,-13.799,0,0.0356,0.824,1.47e-06,0.158,0.255,116.942,audio_features,4xWL8FN9aSp94YbQAa8KZc,spotify:track:4xWL8FN9aSp94YbQAa8KZc,https://api.spotify.com/v1/tracks/4xWL8FN9aSp94YbQAa8KZc,https://api.spotify.com/v1/audio-analysis/4xWL8FN9aSp94YbQAa8KZc,264674,3
2,0.578,0.6,9,-9.154,0,0.0281,0.493,0.0142,0.15,0.366,144.963,audio_features,4KBrrIeGKQTmrvTrpC5O2t,spotify:track:4KBrrIeGKQTmrvTrpC5O2t,https://api.spotify.com/v1/tracks/4KBrrIeGKQTmrvTrpC5O2t,https://api.spotify.com/v1/audio-analysis/4KBrrIeGKQTmrvTrpC5O2t,171724,3
3,0.506,0.472,0,-8.106,0,0.0283,0.667,2.46e-05,0.0681,0.341,110.098,audio_features,5HsQj0zYroBj2iYsS6uxrM,spotify:track:5HsQj0zYroBj2iYsS6uxrM,https://api.spotify.com/v1/tracks/5HsQj0zYroBj2iYsS6uxrM,https://api.spotify.com/v1/audio-analysis/5HsQj0zYroBj2iYsS6uxrM,391445,4
4,0.433,0.168,3,-15.944,1,0.0448,0.981,0.946,0.107,0.0799,130.62,audio_features,78shHmYJjbCNxY69yfWo6l,spotify:track:78shHmYJjbCNxY69yfWo6l,https://api.spotify.com/v1/tracks/78shHmYJjbCNxY69yfWo6l,https://api.spotify.com/v1/audio-analysis/78shHmYJjbCNxY69yfWo6l,208467,4
