,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.783,0.435,7,-7.78,1,0.0588,0.282,0.0,0.0833,0.512,106.974,audio_features,31sSFHIe4NaxltVFOEIcTa,spotify:track:31sSFHIe4NaxltVFOEIcTa,https://api.spotify.com/v1/tracks/31sSFHIe4NaxltVFOEIcTa,https://api.spotify.com/v1/audio-analysis/31sSFHIe4NaxltVFOEIcTa,210220,4
1,0.572,0.621,2,-7.298,1,0.0336,0.543,2.19e-06,0.124,0.35,159.989,audio_features,2jgq1RlYLt4FZldm4KAfj2,spotify:track:2jgq1RlYLt4FZldm4KAfj2,https://api.spotify.com/v1/tracks/2jgq1RlYLt4FZldm4KAfj2,https://api.spotify.com/v1/audio-analysis/2jgq1RlYLt4FZldm4KAfj2,187544,4
2,0.407,0.292,3,-7.621,1,0.0773,0.855,0.0,0.117,0.0772,78.412,audio_features,5WgdCkTa3l9GznpPQaQH6W,spotify:track:5WgdCkTa3l9GznpPQaQH6W,https://api.spotify.com/v1/tracks/5WgdCkTa3l9GznpPQaQH6W,https://api.spotify.com/v1/audio-analysis/5WgdCkTa3l9GznpPQaQH6W,178896,4
3,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013,audio_features,3pYDZTJM2tVBUhIRifWVzI,spotify:track:3pYDZTJM2tVBUhIRifWVzI,https://api.spotify.com/v1/tracks/3pYDZTJM2tVBUhIRifWVzI,https://api.spotify.com/v1/audio-analysis/3pYDZTJM2tVBUhIRifWVzI,219973,4
4,0.531,0.224,2,-10.878,1,0.0293,0.874,0.0,0.111,0.276,74.98,audio_features,7jKCAmjP2cAn9WxxIVR14Y,spotify:track:7jKCAmjP2cAn9WxxIVR14Y,https://api.spotify.com/v1/tracks/7jKCAmjP2cAn9WxxIVR14Y,https://api.spotify.com/v1/audio-analysis/7jKCAmjP2cAn9WxxIVR14Y,200563,4
