,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.743,0.894,9,-3.876,0,0.0381,0.296,0.0,0.0784,0.642,117.018,audio_features,6XC9ruuQ782RxChFFfN5N3,spotify:track:6XC9ruuQ782RxChFFfN5N3,https://api.spotify.com/v1/tracks/6XC9ruuQ782RxChFFfN5N3,https://api.spotify.com/v1/audio-analysis/6XC9ruuQ782RxChFFfN5N3,255242,4
1,0.768,0.807,7,-4.983,1,0.219,0.519,0.0,0.364,0.733,98.057,audio_features,3CpmuBuSV5bJU4CM94QaQT,spotify:track:3CpmuBuSV5bJU4CM94QaQT,https://api.spotify.com/v1/tracks/3CpmuBuSV5bJU4CM94QaQT,https://api.spotify.com/v1/audio-analysis/3CpmuBuSV5bJU4CM94QaQT,200124,4
2,0.466,0.216,4,-16.386,0,0.0301,0.95,0.86,0.0955,0.313,99.783,audio_features,6LfWqv7ZKglbQ3rmJmQhO5,spotify:track:6LfWqv7ZKglbQ3rmJmQhO5,https://api.spotify.com/v1/tracks/6LfWqv7ZKglbQ3rmJmQhO5,https://api.spotify.com/v1/audio-analysis/6LfWqv7ZKglbQ3rmJmQhO5,256880,3
3,0.781,0.553,7,-7.21,1,0.189,0.0782,0.0,0.341,0.42,95.995,audio_features,7b3kspTmqpX7zjrVvRGRu4,spotify:track:7b3kspTmqpX7zjrVvRGRu4,https://api.spotify.com/v1/tracks/7b3kspTmqpX7zjrVvRGRu4,https://api.spotify.com/v1/audio-analysis/7b3kspTmqpX7zjrVvRGRu4,352500,4
4,0.745,0.49,9,-8.04,0,0.0531,0.385,0.0,0.261,0.624,150.868,audio_features,4tfnKvO8vBM8rA525B49iX,spotify:track:4tfnKvO8vBM8rA525B49iX,https://api.spotify.com/v1/tracks/4tfnKvO8vBM8rA525B49iX,https://api.spotify.com/v1/audio-analysis/4tfnKvO8vBM8rA525B49iX,245316,4
