,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,audio_features,3di5hcvxxciiqwMH1jarhY,spotify:track:3di5hcvxxciiqwMH1jarhY,https://api.spotify.com/v1/tracks/3di5hcvxxciiqwMH1jarhY,https://api.spotify.com/v1/audio-analysis/3di5hcvxxciiqwMH1jarhY,242974,4
1,0.551,0.516,0,-5.734,1,0.0493,0.167,0.0,0.209,0.792,199.904,audio_features,579xAs0iqnYWRZQJfjAW9U,spotify:track:579xAs0iqnYWRZQJfjAW9U,https://api.spotify.com/v1/tracks/579xAs0iqnYWRZQJfjAW9U,https://api.spotify.com/v1/audio-analysis/579xAs0iqnYWRZQJfjAW9U,147382,4
2,0.754,0.664,6,-8.038,0,0.102,0.126,0.0,0.118,0.399,93.046,audio_features,6t2bhMg6bbpejeIxNkCqOk,spotify:track:6t2bhMg6bbpejeIxNkCqOk,https://api.spotify.com/v1/tracks/6t2bhMg6bbpejeIxNkCqOk,https://api.spotify.com/v1/audio-analysis/6t2bhMg6bbpejeIxNkCqOk,200740,4
3,0.473,0.592,5,-6.859,1,0.138,0.0528,0.0,0.131,0.292,159.7,audio_features,0UKUfxIkDAMZz7hMdiVX3m,spotify:track:0UKUfxIkDAMZz7hMdiVX3m,https://api.spotify.com/v1/tracks/0UKUfxIkDAMZz7hMdiVX3m,https://api.spotify.com/v1/audio-analysis/0UKUfxIkDAMZz7hMdiVX3m,138573,4
4,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,audio_features,3Zwu2K0Qa5sT6teCCHPShP,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,https://api.spotify.com/v1/tracks/3Zwu2K0Qa5sT6teCCHPShP,https://api.spotify.com/v1/audio-analysis/3Zwu2K0Qa5sT6teCCHPShP,203507,4
